ST_CASE,STATE_NAME,CITY_NAME,COUNTY_NAME,RUR_URB_NAME,TYP_INT_NAME,TWAY_ID,TWAY_ID2,HARM_EV_NAME,FATALS,DRUNK_DR,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,MONTH_NAME,DAY_WEEK_NAME,WEATHER_NAME,LGT_COND_NAME,LATITUDE,LONGITUD
120001,FLORIDA,Not Applicable,ESCAMBIA,Rural,Not an Intersection,US-90,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,January,Tuesday,Clear,Daylight,30.5150,-87.3733
120002,FLORIDA,PEMBROKE PINES,BROWARD,Urban,Four-Way Intersection,SR-820,114 AVE,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,January,Thursday,Cloudy,Dark - Lighted,26.0075,-80.3002
120003,FLORIDA,Not Applicable,HARDEE,Rural,Not an Intersection,SR-66,SWEETWATER ROAD,Ditch,1,0,1,1,0,0,0,1,1,January,Saturday,Cloudy,Daylight,27.4583,-81.6763
120004,FLORIDA,Not Applicable,MIAMI-DADE,Urban,Not an Intersection,SR-826,24TH ST,Concrete Traffic Barrier,1,0,1,1,0,0,0,1,1,January,Monday,Clear,Daylight,25.7480,-80.3200
120005,FLORIDA,Not Applicable,SUWANNEE,Trafficway Not in State Inventory,Not an Intersection,68TH ST,,Immersion or Partial Immersion,1,0,1,1,0,0,0,1,1,January,Saturday,Rain,Daylight,30.3263,-83.1483
120006,FLORIDA,Not Applicable,HENDRY,Rural,Not an Intersection,SR-29,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,January,Saturday,"Fog, Smog, Smoke",Dawn,26.5233,-81.4351
120007,FLORIDA,Not Applicable,MIAMI-DADE,Urban,T-Intersection,SR-959,PERIMETER RD,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,January,Friday,Clear,Daylight,25.8074,-80.2892
120008,FLORIDA,PORT SAINT LUCIE,ST. LUCIE,Trafficway Not in State Inventory,Not an Intersection,FLORESTA DR,,Curb,1,1,1,1,0,0,0,2,2,January,Sunday,Clear,Dark - Lighted,27.3256,-80.3493
120009,FLORIDA,BELLE GLADE,PALM BEACH,Urban,Not an Intersection,CANAL ST,,Immersion or Partial Immersion,1,0,1,1,0,0,0,1,1,January,Sunday,Not Reported,Unknown,26.6939,-80.6087
120010,FLORIDA,WELLINGTON,PALM BEACH,Trafficway Not in State Inventory,Not an Intersection,SUNNYDALE DR,,Curb,2,1,1,1,0,0,0,2,2,January,Monday,Cloudy,Dark - Lighted,26.6449,-80.2480
120011,FLORIDA,JACKSONVILLE,DUVAL,Urban,Not an Intersection,LOSCO RD,,Curb,1,1,1,1,0,0,0,1,1,January,Sunday,Clear,Dark - Lighted,30.1719,-81.5977
120012,FLORIDA,JACKSONVILLE,DUVAL,Urban,Not an Intersection,GIRVIN RD,,Tree (Standing Only),1,1,1,1,0,0,0,1,1,January,Saturday,Clear,Dark - Lighted,30.3250,-81.4721
120013,FLORIDA,KEY BISCAYNE,MIAMI-DADE,Urban,Not an Intersection,HARBOR DR,,Tree (Standing Only),1,0,1,1,0,0,0,3,3,January,Friday,Clear,Daylight,25.6884,-80.1727
