"","ï..ST_CASE","STATE_NAME","CITY_NAME","COUNTY_NAME","RUR_URB_NAME","TYP_INT_NAME","TWAY_ID","TWAY_ID2","HARM_EV_NAME","FATALS","DRUNK_DR","VE_TOTAL","VE_FORMS","PVH_INVL","PEDS","PERNOTMVIT","PERMVIT","PERSONS","MONTH_NAME","DAY_WEEK_NAME","WEATHER_NAME","LGT_COND_NAME","LATITUDE","LONGITUD"
"1",120029,"FLORIDA","PLANT CITY","HILLSBOROUGH","Urban","T-Intersection","SR-39","ENGLISH STREET","Motor Vehicle in Transport",1,1,2,2,0,0,0,2,2,"January","Thursday","Clear","Dark - Lighted",28.0274,-82.1257
"2",120036,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","US-41","","Concrete Traffic Barrier",1,0,1,1,0,0,0,1,1,"January","Wednesday","Clear","Daylight",27.9492,-82.4513
"3",120116,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","T-Intersection","US-301","ESTATES DEL SOL DR","Rollover/Overturn",1,0,2,2,0,0,0,4,4,"February","Monday","Cloudy","Dark - Lighted",27.8151,-82.3321
"4",120129,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","US-41","","Motor Vehicle in Transport",1,1,2,2,0,0,0,2,2,"January","Thursday","Clear","Dark - Not Lighted",27.7015,-82.4541
"5",120144,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","I-275 RAMP","","Motor Vehicle in Transport",2,0,2,2,0,0,0,2,2,"February","Friday","Clear","Dark - Lighted",27.9619,-82.4538
"6",120151,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-275","","Motor Vehicle in Transport",1,1,2,2,0,0,0,2,2,"January","Monday","Clear","Dark - Not Lighted",28.135,-82.4133
"7",120164,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","T-Intersection","US-92","39A ALEXANDER STREET","Ditch",1,1,1,1,0,0,0,1,1,"February","Friday","Other","Unknown",28.0636,-82.1358
"8",120179,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","US-301","","Motor Vehicle in Transport",2,1,2,2,0,0,0,3,3,"February","Saturday","Clear","Dark - Not Lighted",27.6904,-82.3428
"9",120216,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","US-301","GIBSONTON DR","Motor Vehicle in Transport",1,0,3,3,0,0,0,5,5,"March","Saturday","Clear","Daylight",27.8615,-82.3267
"10",120241,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-75","","Motor Vehicle in Transport",1,1,2,2,0,0,0,2,2,"March","Tuesday","Clear","Dark - Lighted",27.8486,-82.3466
"11",120259,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","US-301","","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"March","Wednesday","Clear","Daylight",27.825,-82.3305
"12",120279,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","SHORE BLVD","","Utility Pole/Light Support",1,1,1,1,0,0,0,1,1,"January","Saturday","Clear","Dark - Lighted",27.9233,-82.5239
"13",120280,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Four-Way Intersection","US-92","TAMPA BAY BLVD W","Curb",1,1,1,1,0,0,0,1,1,"January","Monday","Cloudy","Dark - Lighted",27.974,-82.5054
"14",120281,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","US-92","","Curb",1,0,1,1,0,0,0,1,1,"January","Friday","Clear","Dark - Lighted",27.9466,-82.5056
